x_coord,y_coord,spl_code,Plant_ID,ipen,match_name,ott_id,rank,wikidataID,unknown,UUID,Airtable
2578503.475,1182400.615,DBGI_SPL_000454,Saxifraga marginata Sternb.,XX 0 FRIBG 20010111,Saxifraga marginata,"788682",species,,,{73dd4d1e-2221-42cc-9198-5fa92a61e497},
2578504.003,1182400.294,DBGI_SPL_000413,Saxifraga paniculata subsp. cartilaginea (Willd.) D.A. Webb,XX 0 FRIBG 10002181,Saxifraga paniculata,"495623",species,,,{c46b2a5b-106a-4337-a5c1-c4b05704ffe4},
2578502.348,1182401.996,DBGI_SPL_000491,Chiastophyllum oppositifolium (Ledeb.) A.Berger,RU 0 BONN 22715,Chiastophyllum oppositifolium,"5729807",species,,,{8ed34e1e-39b3-4e26-a572-b6c5709fe0b3},
2578501.957,1182402.133,DBGI_SPL_000447,Sempervivum grandiflorum Haw.,XX 0 FRIBG 10002697,Sempervivum grandiflorum,"5729850",species,http://www.wikidata.org/entity/Q1548057,,{4a310760-5e04-443c-8ec5-7c0fd5992f6a},
2578502.182,1182401.753,DBGI_SPL_000459,Sempervivum tectorum L. subsp. tectorum,FR 0 FRIBG 20150312,Sempervivum tectorum,"286742",species,http://www.wikidata.org/entity/Q161724,,{9f22a417-dd36-4d15-940a-d96a2c818ecf},
2578502.366,1182401.594,DBGI_SPL_000453,Sempervivum montanum L.,FR 0 FRIBG 20110412,Sempervivum montanum,"5326548",species,http://www.wikidata.org/entity/Q161409,,{920b0712-5d5e-45de-bb7f-254234b80306},
2578501.610,1182402.060,DBGI_SPL_000494,Sedum telephium L. s.l.,XX 0 FRIBG 20160210,Sedum telephium,"316299",species,http://www.wikidata.org/entity/Q1327535,,{a47d39bd-c040-4580-9162-ac7512dd0772},
2578501.720,1182401.856,DBGI_SPL_000427,Sedum rupestre L.,XX 0 FRIBG 20160209,Sedum rupestre,"810627",species,http://www.wikidata.org/entity/Q158943,,{a576b3ac-affd-4523-8a0a-4ae20ab92f6e},
2578501.965,1182401.552,DBGI_SPL_000480,Phedimus middendorffianus (Maxim.) 't Hart,XX 0 FRIBG 20160402,Phedimus middendorffianus,"487843",species,http://www.wikidata.org/entity/Q9258378,,{8b3d9c0e-064f-4ff9-b02e-9f7851afffd7},
2578493.605,1182395.354,DBGI_SPL_000456,Araucaria araucana (Molina) K. Koch,XX 0 FRIBG 20040709,Araucaria araucana,"963047",species,http://www.wikidata.org/entity/Q158780,,{05b38322-bb68-4904-bf5a-ee4e4b29088c},
2578491.381,1182392.806,DBGI_SPL_000420,Pinus mugo subsp. uncinata (DC.) Domin,CH 0 FRIBG 20010599,Pinus mugo,"1069751",species,http://www.wikidata.org/entity/Q147475,,{51983b57-b9e5-4aab-a6c4-d49b957f5b6d},
2578492.784,1182391.159,DBGI_SPL_000496,Abies koreana E.H. Wilson,XX 0 FRIBG 20150333,Abies koreana,"876314",species,http://www.wikidata.org/entity/Q390100,,{14a829f0-4c89-45ec-bfb5-a0401593c6ac},
2578494.419,1182392.354,DBGI_SPL_000414,Picea omorika (Pancic) Purk.,XX 0 FRIBG 20150331,Picea omorika,"771684",species,http://www.wikidata.org/entity/Q147824,,{dfbabab5-af56-4581-ac80-d1db65ef8457},
2578496.084,1182393.811,DBGI_SPL_000432,Cephalotaxus harringtonii (J. Forbes) K. Koch,XX 0 FRIBG 20150362,Cephalotaxus harringtonii,"10224",species,http://www.wikidata.org/entity/Q50839379,,{16a6656e-3560-4dc7-9256-c1c7259824db},
2578497.868,1182391.718,DBGI_SPL_000399,Juniperus communis L. subsp. communis,CH 0 FRIBG 20070505,Juniperus communis,"582859",species,http://www.wikidata.org/entity/Q26325,,{8c5ef70c-fde8-4143-a5b7-4ae6fe28f73c},
2578494.142,1182389.502,DBGI_SPL_000422,Podocarpus nivalis Hook.,XX 0 FRIBG 20140300,Podocarpus nivalis,"942",species,http://www.wikidata.org/entity/Q4992302,,{9580ce90-12a5-42db-9eed-8ccbe8c8da52},
2578496.583,1182388.843,DBGI_SPL_000444,Taxus baccata L. femelle,XX 0 FRIBG 10002714,Taxus baccata,"684215",species,http://www.wikidata.org/entity/Q179729,,{f0a1b63c-95b9-4c02-bae4-69e68f69489e},
2578499.034,1182390.265,DBGI_SPL_000489,Cupressus sempervirens L.,IR 0 FRIBG 19900037,Cupressus sempervirens,"949938",species,http://www.wikidata.org/entity/Q147513,,{0eac2763-fd05-4ccd-90ea-f067d617d47a},
2578499.950,1182387.803,DBGI_SPL_000411,Sciadopitys verticillata (Thunb.) Siebold  Zucc.,XX 0 FRIBG 10002197,Sciadopitys verticillata,"164658",species,http://www.wikidata.org/entity/Q161648,,{9de1fd8b-3ab5-4671-ad48-a833c4709141},
2578501.104,1182386.567,DBGI_SPL_000484,Ephedra fragilis Desf. s.l. Femelle,XX 0 FRIBG 20170258,Ephedra fragilis,"185192",species,http://www.wikidata.org/entity/Q2697916,,{0d573a8e-d9db-4c81-9072-3fe2fe190843},
2578486.305,1182397.448,DBGI_SPL_000423,Catalpa ovata G. Don,XX 0 FRIBG 10000847,Catalpa ovata,"309390",species,http://www.wikidata.org/entity/Q1144805,,{2c9fc3c9-3f73-422a-a2bb-e984acdbd454},
2578488.536,1182395.361,DBGI_SPL_000488,Asplenium adiantum-nigrum L.,FR 0 FRIBG 20130176,Asplenium adiantum-nigrum,"933635",species,http://www.wikidata.org/entity/Q923786,,{4e14e1c0-a0c8-4d3e-ba8c-82e0b27416af},
2578487.856,1182395.889,DBGI_SPL_000396,Phyllitis scolopendrium (L.) Newman,XX 0 FRIBG 10002889,Phyllitis scolopendrium,"905814",species,http://www.wikidata.org/entity/Q1130272,,{e70eb05d-d76a-4495-bf46-159b06b46bd1},
2578487.611,1182395.500,DBGI_SPL_000467,Athyrium filix-femina (L.) Roth,CH 0 FRIBG 20020607,Athyrium filix-femina,"718937",species,http://www.wikidata.org/entity/Q1345500,,{6e6d527c-58cd-49af-a5e4-b93a7411d963},
2578487.045,1182394.783,DBGI_SPL_000455,Dryopteris affinis (Lowe) Fraser-Jenk.,XX 0 FRIBG 20040454,Dryopteris affinis,"509215",species,,,{830a74d8-cb09-445b-86f0-3b022b31735d},
2578487.795,1182394.373,DBGI_SPL_000421,Dryopteris dilatata (Hoffm.) A. Gray,CH 0 FRIBG 20020546,Dryopteris dilatata,"795231",species,http://www.wikidata.org/entity/Q905897,,{3ad5ca05-0551-49b7-83b9-53e8bdc52764},
2578486.664,1182394.234,DBGI_SPL_000415,Dryopteris filix-mas (L.) Schott,XX 0 FRIBG 10001095,Dryopteris filix-mas,"41613",species,http://www.wikidata.org/entity/Q322994,,{22b3b237-7a9e-4082-a014-d9d44bb20c87},
2578487.357,1182393.640,DBGI_SPL_000473,Polystichum aculeatum (L.) Roth,XX 0 FRIBG 10002895,Polystichum aculeatum,"682251",species,http://www.wikidata.org/entity/Q28957,,{7921147f-2fa6-44d6-b785-8f2569ac8c13},
2578473.768,1182403.415,DBGI_SPL_000535,Magnolia liliiflora Desr. 'Nigra',XX 0 FRIBG 20140302,Magnolia liliiflora,"288469",species,http://www.wikidata.org/entity/Q942031,,{f05c6598-e2ee-4d0c-8042-c6543767ccd7},
2578476.953,1182401.712,DBGI_SPL_000464,Nymphaea alba L.,XX 0 FRIBG 10001685,Nymphaea alba,"1081719",species,http://www.wikidata.org/entity/Q147030,,{7a45dbfe-2c54-40da-9681-0dc174a95709},
2578475.068,1182400.395,DBGI_SPL_000536,Magnolia stellata (Siebold et Zucc.) Maxim. 'Royal Star',XX 0 FRIBG 20140301,Magnolia stellata,"664533",species,http://www.wikidata.org/entity/Q839507,,{a4fe1472-be13-4ce2-ad4f-0ff2b646d9f4},
