ipen;idTaxon;secteur;matched_name;Inventaire FRIBG;taxon.ott_id;ott_id;rank;wikidataId;wd_taxa_qid
XX 0 FRIBG 10000029;Barbarea vulgaris R. Br.;Syst‚¨me 3;Barbarea vulgaris;barbarea vulgaris;35910;35910;species;http://www.wikidata.org/entity/Q157285;Q157285
XX 0 FRIBG 20030449;Basella alba L.;Serre 5;Basella alba;basella alba;63162;63162;species;http://www.wikidata.org/entity/Q1130368;Q1130368
XX 0 FRIBG 20030449;Basella alba L.;Syst‚¨me 3;Basella alba;basella alba;63162;63162;species;http://www.wikidata.org/entity/Q1130368;Q1130368
XX 0 FRIBG 10000286;Basella alba L. ' Rubra';Serre 5;Basella alba;basella alba;63162;63162;species;http://www.wikidata.org/entity/Q1130368;Q1130368
XX 0 FRIBG 10000092;Bassia scoparia (L.) A.J. Scott;Syst‚¨me 3;Bassia scoparia;bassia scoparia;35500;35500;species;http://www.wikidata.org/entity/Q829752;Q829752
CY 0 IAGB 20121815W;Bauhinia acuminata L.;Multiplication;Bauhinia acuminata;bauhinia acuminata;973655;973655;species;;
XX 0 FRIBG 19410001;Beaucarnea recurvata Lem.;Serre 1 Am.;Beaucarnea recurvata;beaucarnea recurvata;447303;447303;species;http://www.wikidata.org/entity/Q510340;Q510340
XX 0 FRIBG 10000093;Beckmannia syzigachne (Steud.) Fernald;Syst‚¨me 4;Beckmannia syzigachne;beckmannia syzigachne;35191;35191;species;;
XX 0 FRIBG 20140507;Begonia amphioxus Sands;Serre 4;Begonia amphioxus;begonia amphioxus;1085043;1085043;species;;
XX 0 FRIBG 20140505;Begonia dregei Otto & Dietr.;Serre 4;Begonia;begonia.;530190;530190;genus;http://www.wikidata.org/entity/Q158617;Q158617
XX 0 FRIBG 19780001;Begonia foliosa Kunth s. l.;Serre 4;Begonia foliosa;begonia foliosa;488901;488901;species;;
XX 0 FRIBG 20070546;Begonia foliosa Kunth s. l.;Serre 4;Begonia foliosa;begonia foliosa;488901;488901;species;;
XX 0 FRIBG 10003152;Begonia goegoensis N.E. Br.;Serre 4;Begonia goegoensis;begonia goegoensis;488907;488907;species;;
XX 0 FRIBG 10000710;Begonia grandis Dryand. s.l.;Syst‚¨me 2;Begonia grandis;begonia grandis;999065;999065;species;;
XX 0 FRIBG 20000164;Begonia heracleifolia Cham. et Schltdl.;Serre 4;Begonia heracleifolia;begonia heracleifolia;488919;488919;species;http://www.wikidata.org/entity/Q9168329;Q9168329
XX 0 FRIBG 20070543;Begonia Hybriden;Serre 4;Begonia hybrida;begonia hybriden;7631608;7631608;species;;
XX 0 FRIBG 10003153;Begonia masoniana Irmsch. 'Iron Cross';Serre 4;Begonia masoniana;begonia masoniana;1077687;1077687;species;;
XX 0 FRIBG 10003154;Begonia mazae Ziesenh.;Serre 4;Begonia mazae;begonia mazae;5749928;5749928;species;;
XX 0 FRIBG 10003155;Begonia metallica W.G. Sm.;Serre 4;Begonia metallica;begonia metallica;5749776;5749776;species;;
XX 0 FRIBG 20140506;Begonia microsperma Warb.;Serre 4;Begonia microsperma;begonia microsperma;5749846;5749846;species;;
XX 0 FRIBG 20090170;Begonia obliqua L.;Serre 4;Begonia obliqua;begonia obliqua;799613;799613;species;;
XX 0 FRIBG 10003156;Begonia Rex-Cultorum;Serre 4;Begonia rex-cultorum;begonia rex-cultorum;3902408;3902408;species;;
XX 0 FRIBG 20070542;Begonia Rex-Cultorum;Serre 4;Begonia rex-cultorum;begonia rex-cultorum;3902408;3902408;species;;
XX 0 FRIBG 10000450;Begonia Rex-Cultorum 'Escargot';Serre 4;Begonia rex-cultorum;begonia rex-cultorum;3902408;3902408;species;;
XX 0 FRIBG 20090167;Begonia sanguinea Raddi;Serre 4;Begonia sanguinea;begonia sanguinea;5749821;5749821;species;;
XX 0 FRIBG 10000712;Begonia semperflorens Link et Otto;Syst‚¨me 2;Begonia semperflorens;begonia semperflorens;314414;314414;species;;
XX 0 FRIBG 10003157;Begonia sp. 'Tamaya';Serre 4;Begonia;begonia.;530190;530190;genus;http://www.wikidata.org/entity/Q158617;Q158617
XX 0 FRIBG 20090168;Begonia ulmifolia Willd.;Serre 4;Begonia ulmifolia;begonia ulmifolia;122445;122445;species;;
XX 0 FRIBG 19890284;Begonia vitifolia Schott;Serre 4;Begonia vitifolia;begonia vitifolia;6094051;6094051;species;;
XX 0 FRIBG 19920280;Begonia x ricinifolia A. Dietr.;Serre 4;Begonia;begonia.;530190;530190;genus;http://www.wikidata.org/entity/Q158617;Q158617
XX 0 FRIBG 10003151;Begonia X corallina 'Luzerna';Serre 4;Begonia;begonia.;530190;530190;genus;http://www.wikidata.org/entity/Q158617;Q158617
XX 0 FRIBG 10003159;Begonia x erythrophylla Neum. 'Bunchii';Serre 4;Begonia;begonia.;530190;530190;genus;http://www.wikidata.org/entity/Q158617;Q158617
XX 0 FRIBG 10003158;Begonia x erythrophylla Neumann;Serre 4;Begonia;begonia.;530190;530190;genus;http://www.wikidata.org/entity/Q158617;Q158617
