fid,Plant_ID,spl_code,Airtable,unknown,x_coord,y_coord,UUID
"67",Saxifraga geranioides L.,DBGI_SPL_000402,,,2578504.412,1182400.686,{4a256b99-9a07-4370-b72d-05d8262b9923}
"68",Saxifraga hypnoides L.,DBGI_SPL_000448,,,2578504.139,1182400.971,{7ab6807e-aa3e-4f33-bec8-5547da5e1868}
"69",Saxifraga hostii Tausch,DBGI_SPL_000404,,,2578503.605,1182401.492,{e79235d1-6195-4747-a7d3-43dfe52caaab}
"70",Saxifraga marginata Sternb.,DBGI_SPL_000454,,,2578503.475,1182400.615,{73dd4d1e-2221-42cc-9198-5fa92a61e497}
"71",Saxifraga paniculata subsp. cartilaginea (Willd.) D.A. Webb,DBGI_SPL_000413,,,2578504.003,1182400.294,{c46b2a5b-106a-4337-a5c1-c4b05704ffe4}
"72",Chiastophyllum oppositifolium (Ledeb.) A.Berger,DBGI_SPL_000491,,,2578502.348,1182401.996,{8ed34e1e-39b3-4e26-a572-b6c5709fe0b3}
"73",Sempervivum grandiflorum Haw.,DBGI_SPL_000447,,,2578501.957,1182402.133,{4a310760-5e04-443c-8ec5-7c0fd5992f6a}
"74",Sempervivum tectorum L. subsp. tectorum,DBGI_SPL_000459,,,2578502.182,1182401.753,{9f22a417-dd36-4d15-940a-d96a2c818ecf}
"75",Sempervivum montanum L.,DBGI_SPL_000453,,,2578502.366,1182401.594,{920b0712-5d5e-45de-bb7f-254234b80306}
"76",Sedum telephium L. s.l.,DBGI_SPL_000494,,,2578501.61,1182402.06,{a47d39bd-c040-4580-9162-ac7512dd0772}
"77",Sedum rupestre L.,DBGI_SPL_000427,,,2578501.72,1182401.856,{a576b3ac-affd-4523-8a0a-4ae20ab92f6e}
"78",Phedimus middendorffianus (Maxim.) 't Hart,DBGI_SPL_000480,,,2578501.965,1182401.552,{8b3d9c0e-064f-4ff9-b02e-9f7851afffd7}
"79",Araucaria araucana (Molina) K. Koch,DBGI_SPL_000456,,,2578493.605,1182395.354,{05b38322-bb68-4904-bf5a-ee4e4b29088c}
