mg;Plant_ID;spl_code;Airtable;unknown;x_coord;y_coord;UUID
50.4;Saxifraga paniculata subsp. cartilaginea (Willd.) D.A. Webb;DBGI_SPL_000413;;;7.157092644;46.79241889;{c46b2a5b-106a-4337-a5c1-c4b05704ffe4}
47.8;Picea omorika (Pancic) Purk.;DBGI_SPL_000414;;;7.156967494;46.79234715;{dfbabab5-af56-4581-ac80-d1db65ef8457}
49.8;Dryopteris filix-mas (L.) Schott;DBGI_SPL_000415;;;7.156865835;46.79236381;{22b3b237-7a9e-4082-a014-d9d44bb20c87}
51.1;Bulbine semibarbata (R. Br.) Haw.;DBGI_SPL_000416;;;7.156626323;46.79242094;{2082f709-bf6c-45d9-a2bd-80e5b7b20149}
48;Sagittaria sagittifolia L.;DBGI_SPL_000417;;;7.156755197;46.79230731;{0f907d19-80f0-441f-8e70-1226f7f0cc2d}
50.9;Ornithogalum viridiflorum (I.Verd.) J.C.Manning  Goldblatt;DBGI_SPL_000418;;;7.156683443;46.79234569;{7ccf68a7-9702-438c-bbfe-0caacffb0af2}
52.4;Musa basjoo Iinuma;DBGI_SPL_000419;;;7.156752601;46.79228523;{09d77635-c3c1-4abb-ba3d-dde31cae561b}
51.3;Pinus mugo subsp. uncinata (DC.) Domin;DBGI_SPL_000420;;;7.156927683;46.79235112;{51983b57-b9e5-4aab-a6c4-d49b957f5b6d}
47.8;Dryopteris dilatata (Hoffm.) A. Gray;DBGI_SPL_000421;;;7.156880642;46.7923651;{3ad5ca05-0551-49b7-83b9-53e8bdc52764}
50.1;Podocarpus nivalis Hook.;DBGI_SPL_000422;;;7.156964001;46.79232149;{9580ce90-12a5-42db-9eed-8ccbe8c8da52}
51.6;Catalpa ovata G. Don;DBGI_SPL_000423;;;7.156860982;46.79239271;{2c9fc3c9-3f73-422a-a2bb-e984acdbd454}
48.9;Astilbe japonica (C. Morren et Decne.) A.Gray;DBGI_SPL_000424;;;7.157121747;46.79240872;{aea0a6d4-fb1d-42c2-87cc-c06e9a28ad57}
51.2;Cornus florida fo. rubra (Weston) Schelle;DBGI_SPL_000425;;;7.156857024;46.7924605;{8f35d02e-d286-41cb-83b0-b1f025e7d136}
47.6;Kirengeshoma palmata Yatabe;DBGI_SPL_000426;;;7.156966462;46.79245387;{eb129202-66c8-4bf7-861b-242a543e521a}
50.7;Sedum rupestre L.;DBGI_SPL_000427;;;7.157062669;46.79243286;{a576b3ac-affd-4523-8a0a-4ae20ab92f6e}
49.7;Cyrilla racemiflora L.;DBGI_SPL_000428;;;7.156736335;46.79247467;{831c0768-eaba-4eeb-bda3-2b38a463d488}
48.9;Ornithogalum regale (Hilliard et B.L. Burtt) J.C. Manning et Goldblatt;DBGI_SPL_000429;;;7.156690057;46.79234829;{50bffe71-1d67-49df-8b9e-041a7f8ff684}
47.6;Stewartia pseudocamellia var. koreana ( Rehder) Sealy;DBGI_SPL_000430;;;7.156774796;46.79249828;{36908d71-e686-4ada-82f7-f6817649de3d}
49;Schisandra chinensis (Turcz.) Baill. mono¯que;DBGI_SPL_000431;;;7.156803433;46.79236445;{c4420568-2f52-41dc-bce7-834713a380c1}
50.8;Cephalotaxus harringtonii (J. Forbes) K. Koch;DBGI_SPL_000432;;;7.156989232;46.79236031;{16a6656e-3560-4dc7-9256-c1c7259824db}
52.2;Muscari neglectum Ten.;DBGI_SPL_000433;;;7.156693037;46.79234454;{0ea4ec07-d2f4-403b-86a3-37b81016177d}
49.2;Davidia involucrata Baill. s.l.;DBGI_SPL_000434;;;7.156895494;46.79244761;{4563da82-75d1-40e2-9edc-22f6e483595a}
51;Iris tectorum Maxim.;DBGI_SPL_000435;;;7.156658048;46.79242042;{38157066-8822-448c-a478-f92be2a833f7}
51.8;Iris spuria L. subsp. spuria;DBGI_SPL_000436;;;7.156658451;46.79243584;{3fefcbd4-8d89-4532-972c-1a473ad5dece}
48.9;;DBGI_SPL_000437;;primula acaulis selon panneau;7.156696209;46.79250556;{34d08da1-c1b4-4917-8ca0-9fa368b7c15b}
